Employer,Employer Industry,Description,Job Types,School Years,opt/cpt,sponsor
Morgan Stanley,Investment Banking,"
Discover what makes Morgan Stanley such a great place to work by using the resources on this page to learn more about our people, our business, and our heritage.",Internship,"Sophomore, Freshman",Yes,Yes
MUFG,Investment Banking,"Discover your opportunity with Mitsubishi UFJ Financial Group (MUFG), the 7th largest financial group in the world (as ranked by S&P Global, April 2023). Our vision is to become the world's most trusted financial group: striving to make a difference for every client, organization, and community we serve. We stand for our values, developing positive relationships built on integrity and respect. It’s part of our culture to put people first, listen to new and diverse ideas and collaborate toward greater innovation, speed and agility. We’re a team that accepts responsibility for the future by asking the tough questions and owning the solutions.","Internship, Job","Senior, Junior, Sophomore, Freshman",No,No
Nomura Securities International,Investment Banking,"Nomura is a global financial services group with an integrated network spanning over 30 countries. By connecting markets East & West, Nomura services the needs of individuals, institutions, corporates and governments through its three business divisions: Retail, Wholesale (Global Markets and Investment Banking), and Investment Management. Founded in 1925, the firm is built on a tradition of disciplined entrepreneurship, serving clients with creative solutions and considered thought leadership. For further information about Nomura, visit www.nomura.com.",Internship,,Yes,Yes
BGB Group,"Advertising, PR & Marketing","BGB is a medical communications agency that offers a wide range of services, including traditional pharmaceutical advertising and marketing, promotional medical education, and consulting services. We’re hired as strategic consultants by our biopharmaceutical clients and are responsible for launching new brands, as well as expanding existing ones.","Internship, Job","Doctorate, Masters of Business Administration, Masters",Yes,Yes
Edelman,"Advertising, PR & Marketing","Edelman Smithfield is a global financial communications firm with the power and scope of Edelman, the world’s largest integrated communications agency. We advise senior leaders and management teams navigating complex matters that impact reputation and valuation and have deep expertise in serving and communicating to the financial markets. Serving clients in the United States, Canada, EMEA, APAC, and beyond, Edelman Smithfield offers a deep and talented bench of approximately 250 financial market specialists across more than 25 cities and 15 countries.",Job,Senior,Yes,Yes
Good Apple,"Advertising, PR & Marketing","Good Apple is a nimble, boutique media agency focused on targeted digital media planning and buying in the independent media marketplace. By establishing deep publisher relationships with clients, the company is able to create innovative and efficient campaigns that integrate analytics, improve results, and draw in the audiences most likely to engage with client brands.","Internship, Job","Masters, Senior, Junior",No,No
Gupta Media,"Advertising, PR & Marketing","Gupta Media was founded 20 years ago on the idea that advertising could create huge leverage in our client's business. Our early work was focused on the entertainment industry, specifically live events and record labels. More recently, we have dramatically grown our work with big brands and cult/challenger brands. We have a global client base with a growing local roster.","Internship, Job","Alumni, Masters of Business Administration, Masters, Senior",Yes,Yes
Joele Frank,"Advertising, PR & Marketing","Joele Frank is a leading strategic financial communications and investor relations firm recognized for our intellect, integrity and intensity. We help our clients take control.

Since our founding in January 2000, we have pursued a clear purpose: to deliver excellent, effective and accountable communications counsel and support to enable our clients to achieve their goals. We have a well-established track record of helping our clients assess their situation, weigh options, establish objectives, and quickly arrive at a strategy that enables them to move forward with strength and confidence. We immerse ourselves in our clients’ businesses and stand by them. And we hold ourselves accountable for performance.",Job,Senior,No,No
Numberly,"Advertising, PR & Marketing","Numberly is recognized as one of the world's leading data marketing specialists with nearly 500 employees and 8 offices worldwide serving more than 500 blue-chip clients (L'Oréal, Sanofi, Moleskine, Campari, Nestlé, HSBC...).  By putting technology to work for brands and consumers, Numberly is at the heart of business growth and everyone's desire for more responsible and relevant marketing. Numberly leverages the latest advances in data processing, analysis, and media activation in a virtuous cycle of business competitiveness, enhanced privacy, and data protection.","Internship, Job",,Yes,No
Ovative/group,"Advertising, PR & Marketing","Ovative/group is a digital marketing and measurement agency focused on activating enterprise value through marketing, analytics, and technology services.  Our clients operate in many industries including retail, CPG, health care, and education.

We are a team of genuine, engaged, driven, and accountable experts. Culture is everything to us, and every single person on our team contributes to building the culture we want every day. If you like to drive results and surround yourself with top talent, then Ovative will be the most rewarding job you will ever have.",Internship,Junior,Yes,Yes
Small Girls PR,"Advertising, PR & Marketing","Small Girls PR is a creatively-driven media relations, influencer, and experiential agency championing a personal approach to public relations. While our two co-founders are ""small girls"", we are dedicated to providing equal opportunities to everyone without regard to race, color, religion, sex, national origin, disability, or sexual orientation.

Our clients range from Fortune 500 brands to challenger startups. We’ve handled mergers for GE, launched brands that challenge the norm like Billie, created a closet calculator to see how recycled clothing impacts the environment with thredUP, and catapulted Olay’s Super Bowl ad to the cover of AdWeek. ","Fellowship, Internship, Job",Senior,No,No
Data Intellect,Information Technology,"Data Intellect advise, design and deliver complete-system solutions for an array of industry applications in demanding environments. Today, our customer base are Global Financial Institutions however, we’re always open to new challenges.

Be it Fintech, Healthcare, Renewables or Telematics, to name a few, we love unearthing ingenious ways to help clients cultivate business outcomes, scale-up market offering and realize customer and investor expectations.",Job,"Alumni, Second Year Community / Technical College, First Year Community / Technical College, Certificate Program, Postdoctoral Studies, Doctorate, Masters of Business Administration, Masters, Senior, Junior, Sophomore, Freshman",No,No
The Information Lab,Information Technology,"At The Information Lab we dedicate ourselves to helping people make sense of data using Tableau and Alteryx. Our career acceleration program, The Data School, pays you to become an world-class data visualization and analytics expert. We recruit 8 new people to join The Data School every four months.",Job,"Alumni, Certificate Program, Postdoctoral Studies, Doctorate, Masters of Business Administration, Masters, Senior",No,No
Via,Information Technology,"We’re Via, and we build technology that changes the way the world moves. We pioneered the TransitTech category to ensure that the future of transportation is shared, dynamic public mobility — the kind that reduces carbon emissions across congested cities, minimizes reliance on private cars, and provides everyone with accessible, efficient, and affordable ways of getting around. We created the first end-to-end TransitTech solution for cities and transit agencies, offering world-class software, service design, and operational expertise to fundamentally improve the way the world moves.

Ready to join the ride?  https://ridewithvia.com/",Job,,Yes,Yes
